id,species,dbh,h,dsm_vol,huber_vol,form_factor,denzin_vol
192,Pinus sylvestris,18.8,16.4,0.183,0.455,0.402,0.23
193,Pinus sylvestris,19.0,21.3,0.296,0.604,0.49,0.288
194,Pinus sylvestris,19.1,11.0,0.147,0.315,0.467,0.179
195,Pinus sylvestris,19.3,22.2,0.293,0.649,0.451,0.308
196,Pinus sylvestris,19.5,21.2,0.29,0.633,0.458,0.303
197,Pinus sylvestris,19.6,17.44,0.195,0.526,0.371,0.262
198,Pinus sylvestris,19.8,15.6,0.26,0.48,0.542,0.246
199,Pinus sylvestris,20.0,23.4,0.341,0.735,0.464,0.345
200,Pinus sylvestris,20.0,16.8,0.23,0.528,0.436,0.266
201,Pinus sylvestris,20.3,19.6,0.286,0.634,0.451,0.308
202,Pinus sylvestris,20.5,23.7,0.299,0.782,0.382,0.366
203,Pinus sylvestris,20.7,20.12,0.274,0.677,0.405,0.327
204,Pinus sylvestris,20.9,9.6,0.155,0.329,0.471,0.196
205,Pinus sylvestris,21.1,23.7,0.414,0.829,0.499,0.388
206,Pinus sylvestris,21.3,18.7,0.317,0.666,0.476,0.327
207,Pinus sylvestris,21.5,25.5,0.471,0.926,0.509,0.428
208,Pinus sylvestris,21.7,19.0,0.31,0.703,0.441,0.344
209,Pinus sylvestris,21.8,21.0,0.398,0.784,0.508,0.375
210,Pinus sylvestris,22.0,26.1,0.421,0.992,0.424,0.456
211,Pinus sylvestris,22.0,17.7,0.344,0.673,0.511,0.334
212,Pinus sylvestris,22.2,21.9,0.39,0.848,0.46,0.403
213,Pinus sylvestris,22.3,20.0,0.412,0.781,0.528,0.378
214,Pinus sylvestris,22.5,23.3,0.552,0.926,0.596,0.435
215,Pinus sylvestris,22.8,19.7,0.418,0.804,0.52,0.39
216,Pinus sylvestris,23.0,22.6,0.417,0.939,0.444,0.443
217,Pinus sylvestris,23.1,20.0,0.367,0.838,0.438,0.406
218,Pinus sylvestris,23.5,27.1,0.639,1.175,0.544,0.537
219,Pinus sylvestris,23.7,24.7,0.489,1.09,0.449,0.506
220,Pinus sylvestris,24.0,23.7,0.53,1.072,0.494,0.502
221,Pinus sylvestris,24.0,23.1,0.465,1.045,0.445,0.491
222,Pinus sylvestris,24.3,21.9,0.562,1.016,0.553,0.482
223,Pinus sylvestris,24.5,17.46,0.356,0.823,0.433,0.41
224,Pinus sylvestris,24.9,19.1,0.463,0.93,0.498,0.454
225,Pinus sylvestris,25.3,21.5,0.461,1.081,0.426,0.515
226,Pinus sylvestris,25.6,24.2,0.559,1.246,0.449,0.581
227,Pinus sylvestris,26.1,25.4,0.619,1.359,0.455,0.628
228,Pinus sylvestris,26.3,25.9,0.612,1.407,0.435,0.648
229,Pinus sylvestris,26.7,25.7,0.77,1.439,0.535,0.664
230,Pinus sylvestris,27.0,20.0,0.528,1.145,0.461,0.554
231,Pinus sylvestris,27.2,23.8,0.649,1.383,0.469,0.647
232,Pinus sylvestris,27.5,22.0,0.609,1.307,0.466,0.62
233,Pinus sylvestris,27.7,22.9,0.751,1.38,0.544,0.65
234,Pinus sylvestris,28.0,23.4,0.711,1.441,0.493,0.676
235,Pinus sylvestris,28.1,27.7,0.786,1.718,0.458,0.783
236,Pinus sylvestris,28.8,23.4,0.663,1.524,0.435,0.715
237,Pinus sylvestris,29.3,25.3,0.738,1.706,0.433,0.789
238,Pinus sylvestris,30.0,25.4,0.805,1.795,0.448,0.83
239,Pinus sylvestris,30.5,25.2,1.071,1.841,0.582,0.852
240,Pinus sylvestris,30.8,25.8,1.016,1.922,0.529,0.886
241,Pinus sylvestris,31.3,23.5,0.846,1.808,0.468,0.847
242,Pinus sylvestris,32.0,25.0,0.933,2.011,0.464,0.932
243,Pinus sylvestris,32.3,28.0,1.207,2.294,0.526,1.043
244,Pinus sylvestris,32.6,25.2,0.879,2.103,0.418,0.973
245,Pinus sylvestris,33.5,27.4,1.079,2.415,0.447,1.102
246,Pinus sylvestris,34.1,27.2,1.111,2.484,0.447,1.135
247,Pinus sylvestris,34.7,25.7,1.077,2.43,0.443,1.121
248,Pinus sylvestris,35.3,23.7,1.028,2.319,0.443,1.085
249,Pinus sylvestris,35.6,25.0,0.931,2.488,0.374,1.153
250,Pinus sylvestris,36.2,25.7,1.07,2.645,0.405,1.22
251,Pinus sylvestris,37.3,25.9,1.27,2.83,0.449,1.304
252,Pinus sylvestris,38.7,27.4,1.412,3.223,0.438,1.471
253,Pinus sylvestris,40.0,27.5,1.32,3.456,0.382,1.576
254,Pinus sylvestris,40.5,22.2,1.194,2.86,0.417,1.355
255,Pinus sylvestris,42.0,25.6,1.475,3.547,0.416,1.637
256,Pinus sylvestris,43.2,33.9,2.065,4.969,0.416,2.197
257,Pinus sylvestris,45.7,32.1,2.072,5.265,0.394,2.345
258,Pinus sylvestris,47.9,21.6,1.509,3.892,0.388,1.854
259,Pinus sylvestris,49.0,34.8,2.774,6.562,0.423,2.891
260,Pinus sylvestris,53.5,28.0,2.876,6.294,0.457,2.862
261,Pinus sylvestris,59.8,37.6,4.521,10.56,0.428,4.606
262,Pinus sylvestris,79.1,32.8,6.984,16.118,0.433,7.158
