id,species,dbh,h
417,Fagus sylvatica,17.2,19.1
418,Fagus sylvatica,17.2,19.1
419,Fagus sylvatica,17.2,19.1
420,Fagus sylvatica,17.3,19.1
421,Fagus sylvatica,17.3,19.1
422,Fagus sylvatica,17.3,19.1
423,Fagus sylvatica,17.4,19.2
424,Fagus sylvatica,17.4,19.2
425,Fagus sylvatica,17.5,19.2
426,Fagus sylvatica,17.5,19.2
427,Fagus sylvatica,17.6,19.3
428,Fagus sylvatica,17.6,19.3
429,Fagus sylvatica,17.7,19.3
430,Fagus sylvatica,17.8,19.3
431,Fagus sylvatica,17.8,19.3
432,Fagus sylvatica,17.9,18.1
433,Fagus sylvatica,17.9,19.4
434,Fagus sylvatica,17.9,19.4
435,Fagus sylvatica,18.0,19.4
436,Fagus sylvatica,18.1,19.5
437,Fagus sylvatica,18.2,19.5
438,Fagus sylvatica,18.2,19.5
439,Fagus sylvatica,18.2,19.5
440,Fagus sylvatica,18.3,19.6
441,Fagus sylvatica,18.3,19.6
442,Fagus sylvatica,18.4,19.6
443,Fagus sylvatica,18.4,19.6
444,Fagus sylvatica,18.5,19.6
445,Fagus sylvatica,18.6,19.7
446,Fagus sylvatica,18.6,19.7
447,Fagus sylvatica,18.6,19.7
448,Fagus sylvatica,18.7,19.7
449,Fagus sylvatica,18.7,19.7
450,Fagus sylvatica,18.7,19.7
451,Fagus sylvatica,18.7,19.7
452,Fagus sylvatica,18.7,19.7
453,Fagus sylvatica,18.8,19.8
454,Fagus sylvatica,18.8,19.8
455,Fagus sylvatica,18.8,19.8
456,Fagus sylvatica,18.9,19.8
457,Fagus sylvatica,18.9,19.8
458,Fagus sylvatica,19.0,19.8
459,Fagus sylvatica,19.0,19.8
460,Fagus sylvatica,19.1,19.9
461,Fagus sylvatica,19.1,19.9
462,Fagus sylvatica,19.1,19.9
463,Fagus sylvatica,19.1,19.9
464,Fagus sylvatica,19.1,19.9
465,Fagus sylvatica,19.2,19.9
466,Fagus sylvatica,19.3,20.0
467,Fagus sylvatica,19.3,20.0
468,Fagus sylvatica,19.3,20.0
469,Fagus sylvatica,19.3,20.0
470,Fagus sylvatica,19.4,20.0
471,Fagus sylvatica,19.4,20.0
472,Fagus sylvatica,19.4,20.0
473,Fagus sylvatica,19.4,20.0
474,Fagus sylvatica,19.4,20.0
475,Fagus sylvatica,19.5,20.0
476,Fagus sylvatica,19.5,20.0
477,Fagus sylvatica,19.6,20.1
478,Fagus sylvatica,19.7,20.1
479,Fagus sylvatica,19.8,20.1
480,Fagus sylvatica,20.0,20.2
481,Fagus sylvatica,20.0,20.2
482,Fagus sylvatica,20.1,20.2
483,Fagus sylvatica,20.2,20.3
484,Fagus sylvatica,20.3,20.3
485,Fagus sylvatica,20.3,20.3
486,Fagus sylvatica,20.3,20.3
487,Fagus sylvatica,20.4,20.3
488,Fagus sylvatica,20.4,20.3
489,Fagus sylvatica,20.5,18.3
490,Fagus sylvatica,20.5,20.4
491,Fagus sylvatica,20.6,20.4
492,Fagus sylvatica,20.7,20.5
493,Fagus sylvatica,21.0,20.6
494,Fagus sylvatica,21.0,20.6
495,Fagus sylvatica,21.2,20.8
496,Fagus sylvatica,21.2,20.6
497,Fagus sylvatica,21.4,20.7
498,Fagus sylvatica,21.4,20.7
499,Fagus sylvatica,21.6,21.9
500,Fagus sylvatica,21.8,20.8
501,Fagus sylvatica,21.9,20.8
502,Fagus sylvatica,21.9,20.8
503,Fagus sylvatica,22.1,20.9
504,Fagus sylvatica,22.2,20.9
505,Fagus sylvatica,22.2,20.9
506,Fagus sylvatica,22.3,21.0
507,Fagus sylvatica,22.3,21.0
508,Fagus sylvatica,22.3,21.0
509,Fagus sylvatica,22.5,21.0
510,Fagus sylvatica,22.5,21.0
511,Fagus sylvatica,22.7,25.3
512,Fagus sylvatica,22.7,21.1
513,Fagus sylvatica,22.7,21.1
514,Fagus sylvatica,22.9,21.1
515,Fagus sylvatica,23.2,21.2
516,Fagus sylvatica,23.2,21.2
517,Fagus sylvatica,23.5,21.3
518,Fagus sylvatica,23.6,21.3
519,Fagus sylvatica,23.7,21.4
520,Fagus sylvatica,24.1,21.5
521,Fagus sylvatica,24.4,21.5
522,Fagus sylvatica,24.6,21.6
523,Fagus sylvatica,25.0,21.7
524,Fagus sylvatica,25.0,21.7
525,Fagus sylvatica,25.1,21.7
526,Fagus sylvatica,25.5,21.8
527,Fagus sylvatica,26.9,22.1
528,Fagus sylvatica,27.1,22.2
529,Picea abies,7.5,7.2
530,Picea abies,7.7,7.5
531,Picea abies,9.5,9.9
532,Picea abies,10.1,10.7
533,Picea abies,11.1,11.9
534,Picea abies,11.4,12.3
535,Picea abies,13.1,14.1
536,Picea abies,13.2,14.2
537,Picea abies,14.0,13.5
538,Picea abies,15.1,16.0
539,Picea abies,16.0,18.1
540,Picea abies,16.0,16.8
541,Picea abies,16.1,16.9
542,Picea abies,16.3,17.0
543,Picea abies,16.5,17.2
544,Picea abies,17.1,19.3
545,Picea abies,17.3,17.8
546,Picea abies,17.5,17.9
547,Picea abies,18.0,18.3
548,Picea abies,18.2,18.5
549,Picea abies,19.3,17.7
550,Picea abies,20.0,19.7
